"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 03 16:27:33 CST 2022","Wed Aug 03 16:27:33 CST 2022","56","scripts","test_get_token","TestGetTokenApi","","","test_get_token_api[data1]",""
"passed","Wed Aug 03 16:27:33 CST 2022","Wed Aug 03 16:27:33 CST 2022","45","scripts","test_get_token","TestGetTokenApi","","","test_get_token_api[data0]",""
"passed","Wed Aug 03 16:27:33 CST 2022","Wed Aug 03 16:27:33 CST 2022","145","scripts","test_get_personal_information","TestGetPersonalInformationApi","","","test_personal_information_api",""
